term,term_frequency
large_ADJ,5937149
really_ADV,5933018
already_ADV,5869569
human_ADJ,5773465
next_ADJ,5755737
seen_VERB,5747941
door_NOUN,5725708
house_NOUN,5681646
thing_NOUN,5675956
night_NOUN,5624592
fact_NOUN,5614020
tell_VERB,5600918
wanted_VERB,5576839
help_VERB,5560119
turned_VERB,5520773
heart_NOUN,5514164
course_NOUN,5494134
woman_NOUN,5457367
right_ADJ,5445107
nothing_NOUN,5431131
moment_NOUN,5420129
become_VERB,5361817
look_VERB,5355433
once_ADV,5329906
rather_ADV,5313306
feel_VERB,5298272
young_ADJ,5295209
able_ADJ,5271325
hands_NOUN,5246801
days_NOUN,5246234
mind_NOUN,5224083
done_VERB,5147937
ever_ADV,5137482
name_NOUN,5086079
book_NOUN,5066179
group_NOUN,5054551
best_ADJ,4996899
mother_NOUN,4965881
year_NOUN,4962135
father_NOUN,4938569
second_ADJ,4898404
least_ADJ,4872239
having_VERB,4845332
however_ADV,4794956
most_ADJ,4775492
shall_VERB,4712083
almost_ADV,4701408
form_NOUN,4696135
later_ADV,4680442
times_NOUN,4675372
voice_NOUN,4647769
down_ADV,4643486
enough_ADV,4638749
study_NOUN,4617645
value_NOUN,4589492
several_ADJ,4554637
public_ADJ,4535569
based_VERB,4535476
level_NOUN,4517116
model_NOUN,4513963
heard_VERB,4417189
seemed_VERB,4410946
taken_VERB,4409575
keep_VERB,4393781
kind_NOUN,4374448
sure_ADJ,4366167
known_VERB,4351896
school_NOUN,4339168
full_ADJ,4337219
gave_VERB,4294830
sense_NOUN,4286214
began_VERB,4283178
child_NOUN,4255261
white_ADJ,4232320
country_NOUN,4209487
making_VERB,4186619
matter_NOUN,4129301
love_NOUN,4123935
death_NOUN,4117866
only_ADJ,4076085
doing_VERB,4037209
better_ADJ,4026224
became_VERB,4021393
certain_ADJ,4003004
light_NOUN,3994064
idea_NOUN,3988452
looking_VERB,3985201
true_ADJ,3984523
word_NOUN,3979358
control_NOUN,3970945
problem_NOUN,3951175
common_ADJ,3936414
long_ADV,3929419
held_VERB,3928942
says_VERB,3919904
nature_NOUN,3911485
money_NOUN,3885799
open_ADJ,3849081
health_NOUN,3840500
general_ADJ,3829732
history_NOUN,3825173
black_ADJ,3781742
line_NOUN,3758018
role_NOUN,3756640
believe_VERB,3755539
first_ADV,3755135
local_ADJ,3750588
area_NOUN,3748006
energy_NOUN,3735843
early_ADJ,3730512
change_NOUN,3720898
needed_VERB,3714250
free_ADJ,3703484
whole_ADJ,3664519
food_NOUN,3637673
work_VERB,3632907
city_NOUN,3629601
reason_NOUN,3628269
someone_NOUN,3620911
quite_ADV,3608131
real_ADJ,3593466
terms_NOUN,3566945
started_VERB,3564189
effect_NOUN,3547177
short_ADJ,3519114
soon_ADV,3507652
space_NOUN,3504472
brought_VERB,3494404
period_NOUN,3455683
results_NOUN,3441129
clear_ADJ,3440555
provide_VERB,3398570
leave_VERB,3384990
single_ADJ,3352347
table_NOUN,3349541
cases_NOUN,3343634
action_NOUN,3318228
various_ADJ,3313048
view_NOUN,3301585
thus_ADV,3301518
right_NOUN,3296995
stood_VERB,3290017
blood_NOUN,3283786
right_ADV,3280575
mean_VERB,3269062
systems_NOUN,3257093
story_NOUN,3252742
self_NOUN,3252029
company_NOUN,3213173
front_NOUN,3210915
strong_ADJ,3206807
morning_NOUN,3190345
ways_NOUN,3176935
field_NOUN,3175704
higher_ADJ,3175644
policy_NOUN,3164985
read_VERB,3164486
taking_VERB,3163069
else_ADV,3151370
care_NOUN,3144421
ground_NOUN,3128068
show_VERB,3119690
girl_NOUN,3114980
working_VERB,3114088
similar_ADJ,3104319
members_NOUN,3098235
chapter_NOUN,3093468
risk_NOUN,3092542
feet_NOUN,3083490
land_NOUN,3080932
studies_NOUN,3076525
hard_ADJ,3073179
rate_NOUN,3046528
trying_VERB,3034022
result_NOUN,3030010
makes_VERB,3028584
include_VERB,3026626
friend_NOUN,3014106
groups_NOUN,3008435
less_ADJ,3007988
type_NOUN,3004468
like_VERB,3000173
shown_VERB,2998258
friends_NOUN,2979929
alone_ADV,2978743
hear_VERB,2969323
coming_VERB,2963773
lost_VERB,2956324
rights_NOUN,2926108
main_ADJ,2926004
support_NOUN,2907985
method_NOUN,2906119
present_ADJ,2898622
market_NOUN,2869727
live_VERB,2861821
service_NOUN,2848522
theory_NOUN,2840466
hair_NOUN,2838187
party_NOUN,2833863
mouth_NOUN,2826126
gone_VERB,2817130
minutes_NOUN,2815142
wife_NOUN,2812173
walked_VERB,2802335
quickly_ADV,2796965
tried_VERB,2786431
natural_ADJ,2779088
getting_VERB,2777967
seems_VERB,2774687
hours_NOUN,2764839
changes_NOUN,2760010
class_NOUN,2746082
bring_VERB,2743385
effects_NOUN,2732102
less_ADV,2731437
usually_ADV,2714656
society_NOUN,2713193
arms_NOUN,2707760
need_NOUN,2706023
perhaps_ADV,2705017
back_NOUN,2700741
call_VERB,2694413
simply_ADV,2668288
values_NOUN,2654945
kept_VERB,2644924
rest_NOUN,2636806
fire_NOUN,2636052
months_NOUN,2623949
major_ADJ,2618422
deep_ADJ,2617048
growth_NOUN,2611824
around_ADV,2602804
truth_NOUN,2585526
century_NOUN,2583706
today_NOUN,2573842
reached_VERB,2561239
section_NOUN,2561092
pain_NOUN,2559992
parents_NOUN,2546371
surface_NOUN,2532778
sent_VERB,2531576
longer_ADV,2525871
current_ADJ,2522314
moved_VERB,2517611
poor_ADJ,2507334
means_NOUN,2482636
areas_NOUN,2480665
dark_ADJ,2472912
opened_VERB,2460269
meet_VERB,2456395
force_NOUN,2453771
comes_VERB,2448581
issues_NOUN,2446982
design_NOUN,2446527
culture_NOUN,2442337
means_VERB,2440390
paper_NOUN,2430232
wrong_ADJ,2423389
instead_ADV,2422132
office_NOUN,2419823
based_ADJ,2412113
speak_VERB,2402174
lower_ADJ,2377548
size_NOUN,2376725
context_NOUN,2371878
passed_VERB,2371418
greater_ADJ,2361176
account_NOUN,2359746
cells_NOUN,2359459
written_VERB,2352687
quality_NOUN,2352628
levels_NOUN,2352264
ready_ADJ,2351013
seem_VERB,2345610
brother_NOUN,2341515
private_ADJ,2340302
forward_ADV,2334060
disease_NOUN,2327222
states_NOUN,2322646
finally_ADV,2322114
saying_VERB,2321158
dead_ADJ,2319891
smile_NOUN,2319334
project_NOUN,2314040
move_VERB,2311826
talk_VERB,2308192
town_NOUN,2306268
likely_ADJ,2291844
image_NOUN,2273405
factors_NOUN,2267096
better_ADV,2257204
court_NOUN,2257189
special_ADJ,2255906
methods_NOUN,2254428
love_VERB,2250614
floor_NOUN,2241287
team_NOUN,2239898
loss_NOUN,2233221
purpose_NOUN,2230341
term_NOUN,2230197
cell_NOUN,2220125
plan_NOUN,2215301
pulled_VERB,2214166
entire_ADJ,2214033
simple_ADJ,2210338
legal_ADJ,2201667
added_VERB,2200215
amount_NOUN,2196705
before_ADV,2194137
change_VERB,2192481
events_NOUN,2190601
range_NOUN,2190236
percent_NOUN,2177196
related_VERB,2176149
anyone_NOUN,2174674
stop_VERB,2173835
create_VERB,2165024
look_NOUN,2163612
test_NOUN,2159713
ability_NOUN,2146953
music_NOUN,2144330
happy_ADJ,2144213
step_NOUN,2137427
phone_NOUN,2137227
turn_VERB,2132247
easy_ADJ,2125315
wall_NOUN,2121934
thought_NOUN,2118826
future_NOUN,2116975
forms_NOUN,2113768
stay_VERB,2109452
meant_VERB,2098070
source_NOUN,2096516
third_ADJ,2084838
road_NOUN,2080903
cold_ADJ,2077065
hold_VERB,2075926
text_NOUN,2073356
further_ADV,2073073
little_ADV,2071107
fine_ADJ,2058613
modern_ADJ,2055344
media_NOUN,2052348
impact_NOUN,2049379
late_ADJ,2048295
created_VERB,2046497
half_NOUN,2046193
types_NOUN,2045616
takes_VERB,2039916
start_VERB,2036553
stopped_VERB,2033575
stage_NOUN,2031601
follow_VERB,2031140
church_NOUN,2027329
clearly_ADV,2021544
placed_VERB,2014577
final_ADJ,2010203
smiled_VERB,2008622
shows_VERB,2007306
skin_NOUN,2004853
patient_NOUN,2000944
learn_VERB,1997495
cost_NOUN,1991584
play_VERB,1987312
fell_VERB,1984587
product_NOUN,1984292
lips_NOUN,1982960
worked_VERB,1976157
basis_NOUN,1972669
letter_NOUN,1970888
access_NOUN,1968670
series_NOUN,1952530
indeed_ADV,1945446
wide_ADJ,1944176
window_NOUN,1942646
parts_NOUN,1942621
allow_VERB,1940439
issue_NOUN,1938716
nodded_VERB,1935931
decided_VERB,1933773
carried_VERB,1933227
species_NOUN,1931994
sound_NOUN,1930720
week_NOUN,1928324
game_NOUN,1926043
close_ADV,1924355
earth_NOUN,1920906
husband_NOUN,1916832
changed_VERB,1914129
answer_NOUN,1911469
ideas_NOUN,1909590
raised_VERB,1909480
slowly_ADV,1908447
hour_NOUN,1908288
breath_NOUN,1907542
choice_NOUN,1905054
lives_NOUN,1905029
program_NOUN,1903434
normal_ADJ,1899345
capital_NOUN,1898977
giving_VERB,1897391
models_NOUN,1891344
chance_NOUN,1890506
total_ADJ,1883108
points_NOUN,1863276
replied_VERB,1860620
well_ADJ,1853920
showed_VERB,1853896
died_VERB,1851703
further_ADJ,1850681
respect_NOUN,1846613
spoke_VERB,1843469
allowed_VERB,1842845
police_NOUN,1842556
complex_ADJ,1841046
talking_VERB,1822319
lines_NOUN,1821290
subject_NOUN,1818069
rules_NOUN,1816626
books_NOUN,1813530
about_ADV,1807951
global_ADJ,1807209
fear_NOUN,1806236
network_NOUN,1805863
brain_NOUN,1804690
concept_NOUN,1803881
region_NOUN,1800736
memory_NOUN,1800617
defined_VERB,1799857
news_NOUN,1796730
past_NOUN,1795619
foreign_ADJ,1794919
easily_ADV,1792511
filled_VERB,1789002
science_NOUN,1786595
manner_NOUN,1780701
trade_NOUN,1774200
soul_NOUN,1771295
ones_NOUN,1770997
sister_NOUN,1770381
success_NOUN,1770319
status_NOUN,1765764
waiting_VERB,1765370
recent_ADJ,1759599
care_VERB,1757930
wrote_VERB,1755363
appear_VERB,1752489
lead_VERB,1738755
actions_NOUN,1735223
feeling_NOUN,1733207
price_NOUN,1732371
nearly_ADV,1731400
king_NOUN,1730749
meaning_NOUN,1729159
object_NOUN,1723478
medical_ADJ,1716515
direct_ADJ,1715118
weight_NOUN,1706861
reality_NOUN,1704976
figure_NOUN,1701644
running_VERB,1699351
steps_NOUN,1698621
former_ADJ,1696667
sort_NOUN,1695508
caused_VERB,1686238
shook_VERB,1682246
weeks_NOUN,1679745
leaving_VERB,1674855
becomes_VERB,1670006
moving_VERB,1666916
degree_NOUN,1666263
central_ADJ,1665433
laughed_VERB,1664310
path_NOUN,1661279
living_NOUN,1656801
heat_NOUN,1654516
report_NOUN,1647893
exactly_ADV,1646023
tree_NOUN,1640670
help_NOUN,1639281
spirit_NOUN,1639168
living_VERB,1637997
blue_ADJ,1637698
length_NOUN,1637311
stand_VERB,1636623
lived_VERB,1635016
workers_NOUN,1628971
closed_VERB,1628423
future_ADJ,1626613
student_NOUN,1626259
like_ADJ,1622692
faith_NOUN,1622520
author_NOUN,1621506
very_ADJ,1621434
gives_VERB,1620361
event_NOUN,1618262
caught_VERB,1616908
loved_VERB,1616628
fingers_NOUN,1615703
glass_NOUN,1615114
arrived_VERB,1615070
list_NOUN,1613931
larger_ADJ,1612300
serious_ADJ,1611648
rule_NOUN,1602986
highly_ADV,1596588
evening_NOUN,1595158
couple_NOUN,1593677
flow_NOUN,1592613
fully_ADV,1590913
skills_NOUN,1586485
task_NOUN,1583748
active_ADJ,1581696
remain_VERB,1579467
primary_ADJ,1576328
basic_ADJ,1576063
applied_VERB,1575758
offered_VERB,1568883
content_NOUN,1566048
green_ADJ,1563492
lack_NOUN,1562796
mass_NOUN,1561739
explain_VERB,1561022
covered_VERB,1560226
costs_NOUN,1555760
spent_VERB,1555324
develop_VERB,1553284
built_VERB,1551400
reasons_NOUN,1550666
goes_VERB,1545760
happen_VERB,1544729
return_VERB,1543790
moral_ADJ,1542822
sitting_VERB,1540031
phase_NOUN,1539729
peace_NOUN,1538452
perfect_ADJ,1536188
follows_VERB,1533192
safe_ADJ,1532117
needs_VERB,1528943
write_VERB,1527754
member_NOUN,1526791
knows_VERB,1526713
begin_VERB,1525690
holding_VERB,1525094
places_NOUN,1520913
girls_NOUN,1519843
effort_NOUN,1518224
volume_NOUN,1517489
cause_NOUN,1513036
chest_NOUN,1512936
wait_VERB,1509156
entered_VERB,1506487
growing_VERB,1506372
useful_ADJ,1502522
mental_ADJ,1498058
forces_NOUN,1497930
meeting_NOUN,1493325
while_NOUN,1492799
heavy_ADJ,1491033
needs_NOUN,1490430
seeing_VERB,1486079
paid_VERB,1485422
income_NOUN,1485183
turn_NOUN,1484552
afraid_ADJ,1482216
learned_VERB,1477185
chair_NOUN,1477110
trees_NOUN,1473848
born_VERB,1473286
parties_NOUN,1469280
avoid_VERB,1467901
baby_NOUN,1467675
killed_VERB,1467650
maybe_ADV,1467560
date_NOUN,1466701
contact_NOUN,1465787
leading_VERB,1464027
piece_NOUN,1463363
past_ADJ,1462202
looks_VERB,1460485
numbers_NOUN,1459148
noted_VERB,1458620
reach_VERB,1458389
support_VERB,1452094
older_ADJ,1450035
staff_NOUN,1445983
wish_VERB,1442551
street_NOUN,1441163
return_NOUN,1437026
factor_NOUN,1430436
laws_NOUN,1429348
extent_NOUN,1428198
require_VERB,1427758
review_NOUN,1427274
watched_VERB,1426499
film_NOUN,1425622
appears_VERB,1423276
site_NOUN,1422611
freedom_NOUN,1420934
efforts_NOUN,1419319
sight_NOUN,1417725
failure_NOUN,1417283
popular_ADJ,1416905
focus_NOUN,1414726
shared_VERB,1414033
produce_VERB,1405030
sources_NOUN,1400491
economy_NOUN,1398950
equal_ADJ,1396566
desire_NOUN,1395474
either_ADV,1394674
soft_ADJ,1391758
neck_NOUN,1391038
legs_NOUN,1389320
wind_NOUN,1389116
aware_ADJ,1388324
picture_NOUN,1388027
center_NOUN,1387782
scene_NOUN,1384576
initial_ADJ,1382686
safety_NOUN,1381736
works_NOUN,1378998
stories_NOUN,1377733
speech_NOUN,1374025
strange_ADJ,1372130
walk_VERB,1364480
base_NOUN,1363532
justice_NOUN,1362679
kill_VERB,1358573
rich_ADJ,1356781
plant_NOUN,1353468
animals_NOUN,1353460
formed_VERB,1353013
leaders_NOUN,1352287
note_NOUN,1349544
serve_VERB,1348420
played_VERB,1347001
hope_VERB,1346526
edge_NOUN,1344640
helped_VERB,1344039
goal_NOUN,1343984
message_NOUN,1343719
images_NOUN,1342792
corner_NOUN,1341894
stress_NOUN,1340718
bodies_NOUN,1337302
actual_ADJ,1334894
race_NOUN,1334451
teacher_NOUN,1333977
year_ADJ,1333585
agreed_VERB,1332225
river_NOUN,1330315
doubt_NOUN,1326406
fall_VERB,1323998
sorry_ADJ,1317454
will_NOUN,1310690
miles_NOUN,1310477
remains_VERB,1310226
schools_NOUN,1307637
aspects_NOUN,1305315
clothes_NOUN,1301393
rates_NOUN,1300857
occur_VERB,1300754
opinion_NOUN,1300063
cause_VERB,1298804
over_ADV,1291840
self_ADJ,1291600
huge_ADJ,1288811
offer_VERB,1288211
left_ADJ,1287528
none_NOUN,1287382
sample_NOUN,1284160
page_NOUN,1281011
horse_NOUN,1278900
seat_NOUN,1278658
master_NOUN,1278013
kitchen_NOUN,1276226
married_VERB,1274366
expect_VERB,1270411
receive_VERB,1269405
variety_NOUN,1265579
nation_NOUN,1264218
wants_VERB,1262732
unit_NOUN,1261453
stone_NOUN,1261254
earlier_ADV,1261039
sexual_ADJ,1260802
knowing_VERB,1259852
hope_NOUN,1258736
summer_NOUN,1258239
being_NOUN,1257653
send_VERB,1254346
drug_NOUN,1254336
writing_VERB,1252251
improve_VERB,1251597
carry_VERB,1244461
reduced_VERB,1243195
forced_VERB,1242747
persons_NOUN,1242099
ancient_ADJ,1240486
please_VERB,1240215
call_NOUN,1238821
army_NOUN,1238608
lady_NOUN,1235769
ensure_VERB,1235273
choose_VERB,1232959
foot_NOUN,1232265
vision_NOUN,1231132
dinner_NOUN,1230576
reduce_VERB,1228308
sign_NOUN,1226759
battle_NOUN,1222721
details_NOUN,1221981
tears_NOUN,1220562
speed_NOUN,1217198
boys_NOUN,1215706
gaze_NOUN,1214765
ship_NOUN,1214422
pass_VERB,1213145
attack_NOUN,1211788
names_NOUN,1211338
protect_VERB,1209223
month_NOUN,1207769
animal_NOUN,1207523
trouble_NOUN,1205306
charge_NOUN,1204816
objects_NOUN,1204008
silence_NOUN,1203255
pattern_NOUN,1198950
labor_NOUN,1198507
exist_VERB,1196498
term_ADJ,1195551
tone_NOUN,1193430
allows_VERB,1192925
prevent_VERB,1192711
build_VERB,1192651
cancer_NOUN,1190112
fresh_ADJ,1189773
board_NOUN,1189015
walls_NOUN,1187807
pretty_ADV,1186874
warm_ADJ,1185917
cried_VERB,1184802
deal_NOUN,1184053
scale_NOUN,1177711
middle_NOUN,1177708
accept_VERB,1176575
plants_NOUN,1176297
village_NOUN,1175932
urban_ADJ,1175409
merely_ADV,1175065
trial_NOUN,1174121
soil_NOUN,1172764
truly_ADV,1171609
version_NOUN,1170643
grew_VERB,1169056
suggest_VERB,1168445
proper_ADJ,1167492
color_NOUN,1167379
save_VERB,1165734
coffee_NOUN,1165456
forth_ADV,1163980
pushed_VERB,1163821
pointed_VERB,1163037
duty_NOUN,1160476
doctor_NOUN,1158265
fair_ADJ,1156878
quiet_ADJ,1153694
treated_VERB,1153135
hard_ADV,1153070
shape_NOUN,1151563
therapy_NOUN,1151307
female_ADJ,1150066
worth_ADJ,1147357
apply_VERB,1144757
light_ADJ,1140230
tools_NOUN,1140041
named_VERB,1139190
served_VERB,1137013
enter_VERB,1134639
goods_NOUN,1134192
gender_NOUN,1134180
concern_NOUN,1132530
related_ADJ,1132434
telling_VERB,1128894
noticed_VERB,1128570
play_NOUN,1127557
nice_ADJ,1125374
though_ADV,1124380
achieve_VERB,1122883
lose_VERB,1121878
close_ADJ,1121178
asking_VERB,1117320
average_ADJ,1115781
walking_VERB,1113003
search_NOUN,1112856
managed_VERB,1112253
share_VERB,1109787
wine_NOUN,1107171
fish_NOUN,1106821
motion_NOUN,1105901
empty_ADJ,1105173
authors_NOUN,1104101
target_NOUN,1103589
focused_VERB,1103384
rose_VERB,1102491
birth_NOUN,1102479
bank_NOUN,1101865
ahead_ADV,1101134
affect_VERB,1100673
machine_NOUN,1097404
stared_VERB,1095397
letters_NOUN,1094390
dropped_VERB,1094261
enemy_NOUN,1092722
failed_VERB,1092674
smaller_ADJ,1092416
subject_ADJ,1091509
unique_ADJ,1089307
picked_VERB,1087698
leader_NOUN,1087116
balance_NOUN,1086211
wild_ADJ,1085498
open_VERB,1084549
code_NOUN,1081313
early_ADV,1080881
civil_ADJ,1080320
stepped_VERB,1079975
plans_NOUN,1079726
grow_VERB,1079303
enough_ADJ,1077127
style_NOUN,1076450
willing_ADJ,1075452
turning_VERB,1075116
usual_ADJ,1075019
kids_NOUN,1074819
sweet_ADJ,1074339
goals_NOUN,1069854
element_NOUN,1066705
career_NOUN,1064717
demand_NOUN,1062967
core_NOUN,1061446
laid_VERB,1058348
focus_VERB,1053721
sector_NOUN,1053649
supply_NOUN,1051884
obvious_ADJ,1051847
layer_NOUN,1051552
trust_NOUN,1050430
record_NOUN,1049579
unable_ADJ,1049263
hurt_VERB,1049008
anti_ADJ,1048897
break_VERB,1044809
feeling_VERB,1043828
sides_NOUN,1043219
crime_NOUN,1042537
cities_NOUN,1042474
bright_ADJ,1041811
correct_ADJ,1041792
quick_ADJ,1041198
form_VERB,1035437
public_NOUN,1033493
showing_VERB,1033319
views_NOUN,1031222
face_VERB,1030850
upper_ADJ,1030731
playing_VERB,1030295
matters_NOUN,1030033
journey_NOUN,1029596
limited_VERB,1029466
seek_VERB,1027370
obtain_VERB,1026979
imagine_VERB,1026622
watch_VERB,1026116
fast_ADV,1025997
article_NOUN,1025552
digital_ADJ,1024342
attempt_NOUN,1024019
front_ADJ,1022725
beauty_NOUN,1020979
gold_NOUN,1020347
broad_ADJ,1020263
worse_ADJ,1019883
youth_NOUN,1019024
spread_VERB,1016937
reading_VERB,1016709
powers_NOUN,1016296
metal_NOUN,1015910
output_NOUN,1013461
officer_NOUN,1010822
protein_NOUN,1010593
regular_ADJ,1008671
removed_VERB,1008053
claim_NOUN,1007423
fields_NOUN,1004910
user_NOUN,1004863
gets_VERB,1004832
occurs_VERB,1004759
keeping_VERB,1003923
anger_NOUN,1002745
silent_ADJ,1002593
highest_ADJ,1002373
measure_NOUN,999270
mostly_ADV,998985
angry_ADJ,998832
agent_NOUN,997353
daily_ADJ,996831
belief_NOUN,993598
station_NOUN,992542
minute_NOUN,989566
acid_NOUN,987980
leads_VERB,986218
teeth_NOUN,986191
studied_VERB,985415
thick_ADJ,984129
alive_ADJ,983897
crisis_NOUN,983362
drawn_VERB,982362
discuss_VERB,981191
forest_NOUN,979821
wave_NOUN,978921
absence_NOUN,978825
pieces_NOUN,977747
forget_VERB,976931
weak_ADJ,975727
uses_VERB,975510
error_NOUN,975233
overall_ADJ,974327
items_NOUN,973362
hardly_ADV,971227
liked_VERB,971159
spot_NOUN,970601
stated_VERB,969533
tongue_NOUN,969113
fixed_VERB,968700
broke_VERB,968482
spend_VERB,968438
regard_NOUN,966947
humans_NOUN,966412
sleep_VERB,965243
throat_NOUN,964554
pair_NOUN,963891
reading_NOUN,963680
sleep_NOUN,963526
stock_NOUN,963450
thin_ADJ,962114
formal_ADJ,961700
slow_ADJ,961628
writing_NOUN,961553
fight_VERB,960985
units_NOUN,960105
argued_VERB,959230
federal_ADJ,959198
rock_NOUN,958846
detail_NOUN,958259
ratio_NOUN,957681
danger_NOUN,957586
time_ADJ,957374
ended_VERB,957339
crowd_NOUN,957101
classes_NOUN,956018
drew_VERB,955956
climate_NOUN,954953
finding_VERB,953324
noise_NOUN,953152
passage_NOUN,952305
mission_NOUN,951831
show_NOUN,951714
damage_NOUN,951593
college_NOUN,948521
sought_VERB,947464
located_VERB,947019
agree_VERB,945718
apart_ADV,945328
suppose_VERB,945214
signs_NOUN,945071
bottom_NOUN,944324
mode_NOUN,943147
glanced_VERB,942502
share_NOUN,941404
command_NOUN,941276
taught_VERB,940772
hall_NOUN,939539
title_NOUN,939263
tool_NOUN,938988
perform_VERB,937744
credit_NOUN,937506
broken_VERB,937406
client_NOUN,937345
inside_ADV,936143
thank_VERB,934118
hell_NOUN,931735
wood_NOUN,931220
middle_ADJ,930347
adopted_VERB,928803
feature_NOUN,926975
finger_NOUN,926734
regions_NOUN,925062
listen_VERB,923886
boat_NOUN,923357
chosen_VERB,923306
mainly_ADV,921220
notion_NOUN,920617
largely_ADV,920445
join_VERB,918572
famous_ADJ,918368
facts_NOUN,916192
kinds_NOUN,915332
waited_VERB,915288
agents_NOUN,915210
dream_NOUN,914035
prove_VERB,914030
limited_ADJ,912327
ring_NOUN,911023
solid_ADJ,910614
garden_NOUN,910576
ordered_VERB,909889
false_ADJ,909766
joined_VERB,908796
pure_ADJ,908519
guess_VERB,908148
worry_VERB,908039
enjoy_VERB,907144
relief_NOUN,906556
answer_VERB,905550
lying_VERB,905106
glad_ADJ,904818
control_VERB,903478
post_ADJ,903421
wearing_VERB,901343
dress_NOUN,901331
closely_ADV,901078
orders_NOUN,898649
users_NOUN,898318
present_NOUN,897600
train_NOUN,897147
check_VERB,896980
reports_NOUN,894250
brown_ADJ,892859
sharp_ADJ,892032
severe_ADJ,891392
input_NOUN,891081
draw_VERB,890344
moments_NOUN,889622
chain_NOUN,888572
figures_NOUN,888084
sites_NOUN,886875
deal_VERB,886172
houses_NOUN,884066
cycle_NOUN,883311
lifted_VERB,882739
device_NOUN,880670
talked_VERB,880222
notes_NOUN,877610
option_NOUN,877410
island_NOUN,876966
shut_VERB,876832
spring_NOUN,875488
deeply_ADV,874870
inner_ADJ,873964
happens_VERB,873800
engaged_VERB,873548
closer_ADV,871917
bone_NOUN,871600
putting_VERB,869471
earlier_ADJ,868219
song_NOUN,868117
cent_NOUN,865939
capable_ADJ,865480
ought_VERB,864733
divine_ADJ,864632
whole_NOUN,864423
nose_NOUN,864191
tissue_NOUN,863637
careful_ADJ,861738
signal_NOUN,860575
above_ADJ,860424
screen_NOUN,860017
advice_NOUN,859767
aspect_NOUN,858446
threat_NOUN,858263
tend_VERB,857170
decades_NOUN,855114
winter_NOUN,854432
assumed_VERB,852430
store_NOUN,852328
devices_NOUN,852215
ball_NOUN,852148
leaned_VERB,851130
injury_NOUN,850469
outcome_NOUN,849999
benefit_NOUN,849911
mine_NOUN,847653
agency_NOUN,847517
tests_NOUN,846331
assume_VERB,846319
novel_NOUN,844634
sudden_ADJ,842767
double_ADJ,841680
realize_VERB,841089
sword_NOUN,840980
busy_ADJ,839101
carbon_NOUN,838939
desk_NOUN,837643
camp_NOUN,837608
struck_VERB,837572
sick_ADJ,837290
visual_ADJ,836632
divided_VERB,836132
hotel_NOUN,835523
tall_ADJ,835237
options_NOUN,834510
widely_ADV,833730
firm_NOUN,832486
gently_ADV,830164
visible_ADJ,830056
adults_NOUN,829802
matrix_NOUN,829706
claims_NOUN,829045
heaven_NOUN,828878
pull_VERB,828521
horses_NOUN,828369
decide_VERB,827765
iron_NOUN,826519
address_VERB,824188
partner_NOUN,823673
bound_VERB,823178
shot_VERB,822524
extra_ADJ,820365
grabbed_VERB,819077
anxiety_NOUN,819007
rise_NOUN,818798
plane_NOUN,818593
depends_VERB,818014
season_NOUN,818008
heads_NOUN,815723
grown_VERB,814696
